dimemployee_fullname,dimemployee_firstname,finishedgoodsflag,dimreseller_ordermonth,factsales_freight,factsales_currencykey,dimdate_monthnumberofyear,productalternatekey,dimreseller_lastorderyear,dimgeography_city,dimsalesterritory_salesterritorykey,dimdate_monthname,dimreseller_yearopened,factsales_orderquantity,productsubcategoryname,dimemployee_gender,productsubcategoryalternatekey,dimdate_fiscalyear,dimemployee_salariedflag,factsales_extendedamount,factsales_ordertime,factsales_productstandardcost,dimreseller_businesstype,factsales_salesorderlinenumber,startdate,dimreseller_resellername_it,dimdate_daynumberofweek,dimgeography_latlong,factsales_productkey,enddate,productsubcategorykey,factsales_unitprice,dimdate_daynumberofyear,dimdate_calendaryear,dimemployee_title,sizeunitmeasurecode,dimreseller_resellerkey,surveyresponse,dimgeography_stateprovincename,dimreseller_addresslineone,dimgeography_countryregionname,dimemployee_maritalstatus,productline,dimemployee_status,dimdate_fulldatealternatekey,dimdate_fiscalsemester,dimreseller_bankname_it,dimgeography_stateprovincecode,productname_es,dimreseller_resellername,dimemployee_birthdate,dimdate_daynumberofmonth,dimemployee_phone,dimgeography_countryregioncode,dimgeography_latlong_geo_subregion,listprice,reorderpoint,dimgeography_latlong_geo_country,dimemployee_employeekey,dimemployee_lastname,productcategoryname,dimdate_fiscalquarter,dimemployee_employeenationalidalternatekey,dimgeography_latlong_geo_postcode,dimreseller_annualsales,dimreseller_minpaymentamount,factsales_salesamount,factsales_salesterritorykey,factsales_taxamt,dimdate_calendarquarter,safetystocklevel,daystomanufacture,dimgeography_latlong_geo_subregionid,factsales_totalproductcost,dimreseller_geographykey,description,dimemployee_emailaddress,dimemployee_salespersonflag,dimemployee_salesterritorykey,factsales_discountamount,dimreseller_productline,dimsalesterritory_salesterritorycountry,dimreseller_addresslinetwo,dimdate_weeknumberofyear,dimreseller_phone,factsales_shipdatekey,factsales_recordspec,factsales_employeekey,dimgeography_latlong_geo_city,d,status,class,dealerprice,factsales_salesordernumber,productname_zh_tw,size,dimsalesterritory_salesterritoryregion,dimreseller_bankname_de,dimreseller_bankname_zh_cn,factsales_carriertrackingnumber,standardcost,dimdate_daynameofweek,dimreseller_minpaymenttype,productcategorykey,productcategoryalternatekey,dimreseller_annualrevenue,factsales_revisionnumber,factsales_orderdatekey,modelname,weight,dimgeography_salesterritorykey,dimsalesterritory_salesterritorygroup,factsales_resellerkey,factsales_shiptime,dimemployee_baserate,factsales_unitpricediscountpct,factsales_duedatekey,factsales_orderduration_duration,style,dimreseller_orderfrequency,dimreseller_firstorderyear,dimemployee_startdate,dimemployee_currentflag,dimgeography_latlong_geo_region,dimgeography_latlong_geo_regionid,productname_it,dimdate_calendarsemester,dimemployee_departmentname,productname,factsales_promotionkey,dimreseller_numberemployees,weightunitmeasurecode,dimgeography_postalcode,factsales_customerponumer,sizerange,dimemployee_hiredate,dimreseller_bankname,dimgeography_geographykey,dimemployee_middlename,color,dimreseller_reselleralternatekey,productcategory,dimdate_datekey
Linda C Mitchell,Linda,TRUE,6,4.9201,100,6,HB-M918,2008,Fullerton,4,June,1979,3,Handlebars,F,4,2007,1,196.8054,12:35:49.000Z,48.5453,Value Added Reseller,9,7/1/2006 0:00,Molti Bikes Negozio,6,33.878981 -117.89325,401,6/30/2007 0:00,4,65.6018,152,2007,Sales Representative,,61,,California,Receiving,United States,M,M ,Current,00:00.,2,Primaria Banca e Riserva [it],CA,LL Carretera Manillar [es],Many Bikes Store,00:00.,1,883-555-0116,US,Orange County,109.3364,375,US,282,Mitchell,Components,Q4,191644724,92670,300000,,196.8054,4,15.7444,2,500,1,5379524,145.6359,323,Flat bar strong enough for the pro circuit.,linda3@adventur,1,4,0,Mountain,United States,,23,452-555-0179,06:46.,SO50745-9,282,Placentia,dimreseller_businesstype_ja,,H ,65.6018,SO50745,productname_zh_tw,,Southwest,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,02DB-4CC5-85,48.5453,Friday,1,2,2,30000,1,35:49.,HL Mountain Handlebars,,4,North America,61,01:06:46.000Z,23.0769,0,00:00.,649857000,,S,2006,00:00.,1,California,5332921,ML Strada Manubrio [it],1,Sales,HL Mountain Handlebars,1,6,,92831,PO5539140407,NA,00:00.,Primary Bank & Reserve,323,C,NA,AW00000061,4,00:00.
Linda C Mitchell,Linda,,5,0.721,100,11,LJ-0192-L,2008,Gilroy,4,November,1987,1,Jerseys,F,21,2006,1,28.8404,02:10:00.000Z,31.7244,Value Added Reseller,4,,Giocattoli robuste,3,37.016943 -121.56581,232,,21,28.8404,305,2005,Sales Representative,,385,,California,Pacific West Outlet,United States,M,,Current,00:00.,1,Riserva di Sicurezza [it],CA,Largo-Manga Logo Jersey [es],Sturdy Toys,00:00.,1,883-555-0116,US,Santa Clara County,,,US,282,Mitchell,Clothing,Q2,191644724,95021,300000,,28.8404,4,2.3072,4,,,5393021,31.7244,324,,linda3@adventur,1,4,0,Mountain,United States,,44,330-555-0116,54:47.,SO44551-4,282,Gilroy,dimreseller_businesstype_ja,,,,SO44551,productname_zh_tw,,Southwest,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,5A94-49FB-8D,,Tuesday,1,3,3,30000,1,10:00.,,,4,North America,385,23:54:47.000Z,23.0769,0,00:00.,596687000,,S,2005,00:00.,1,California,5332921,Manica Lunga Logo Maglietta [it],2,Sales,Long-Sleeve Logo Jersey,1,7,,95020,PO5684111258,,00:00.,Reserve Security,324,C,,AW00000385,21,00:00.
Jae B Pak,Jae,,4,172.1243,19,4,BK-M68B-42,2008,Brossard,6,April,1996,5,Mountain Bikes,F,1,2008,1,6884.97,23:31:07.000Z,1251.9813,Warehouse,7,,Seduta in pelle fabbrica,3,,361,,1,1376.994,92,2008,Sales Representative,CM ,245,,Quebec,"9900-6400 Boul, Taschereau",Canada,M,,Current,00:00.,2,Riserva di Sicurezza [it],QC,Monta?a-200 Negro [es],Leather Seat Factory,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Bikes,Q4,668991357,,3000000,,6884.97,6,550.7976,2,,,,6259.9065,101,,jae0@adventure-,1,10,0,Mountain,Canada,,14,191-555-0151,02:56.,SO67295-7,291,,dimreseller_businesstype_ja,,,,SO67295,productname_zh_tw,,Canada,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,D785-46A0-BC,,Tuesday,2,1,1,300000,1,31:07.,,,6,North America,245,12:02:56.000Z,23.0769,0,00:00.,563509000,,Q,2006,00:00.,1,,,Montagna-300 Nero [it],1,Sales,Mountain-200 Black,1,64,LB ,J4Z 1R4,PO1711155302,,00:00.,Reserve Security,101,B,,AW00000245,1,00:00.
Jillian  Carson,Jillian,,5,35.2346,100,8,BK-R50B-44,2008,College Station,4,August,1997,3,Road Bikes,F,2,2007,1,1409.382,03:29:57.000Z,486.7066,Value Added Reseller,43,,Sheet Metal Manufacturing,3,30.614647 -96.32641,339,,2,469.794,213,2006,Sales Representative,CM ,436,,Texas,25306 Harvey Rd.,United States,S,,Current,00:00.,1,Sicurezza Internazionale [it],TX,Carretera-650 Negro [es],Sheet Metal Manufacturing,00:00.,1,517-555-0117,US,Brazos County,,,US,283,Carson,Bikes,Q1,615389812,77869,800000,,1409.382,4,112.7506,3,,,4676153,1460.1198,576,,jillian0@advent,1,3,0,Road,United States,,31,145-555-0152,14:30.,SO47027-43,283,College Station,dimreseller_businesstype_ja,,,,SO47027,productname_zh_tw,,Southwest,International Sicherheit [de],dimreseller_bankname_zh_cn,1A9C-4166-A7,,Tuesday,2,1,1,80000,1,29:57.,,,4,North America,436,16:14:30.000Z,23.0769,0,00:00.,564273000,,S,2006,00:00.,1,Texas,4736286,Montagna-100 Argento [it],2,Sales,Road-650 Black,1,17,LB ,77840,PO3480112515,,00:00.,International Security,576,,,AW00000436,2,00:00.
Jae B Pak,Jae,,5,4.1994,19,2,SH-W890-S,2008,Ottawa,6,February,1998,4,Shorts,F,22,2008,1,167.976,16:03:35.000Z,26.1763,Specialty Bike Shop,2,,Cambio pneumatici,6,,474,,22,41.994,32,2008,Sales Representative,,677,,Ontario,9984 Wellington Street,Canada,M,,Current,00:00.,2,Primaria Banca e Riserva [it],ON,,Tire Exchange,00:00.,1,1 (11) 500 555-,CA,,,,,291,Pak,Clothing,Q3,668991357,,1500000,,167.976,6,13.4381,1,,,,104.7052,88,,jae0@adventure-,1,10,0,Mountain,Canada,,6,394-555-0168,27:28.,SO63207-2,291,,dimreseller_businesstype_ja,,,,SO63207,productname_zh_tw,,Canada,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,1E04-46C0-BA,,Friday,1,3,3,150000,1,03:35.,,,6,North America,677,22:27:28.000Z,23.0769,0,00:00.,627833000,,A,2006,00:00.,1,,,,1,Sales,Women's Mountain Shorts,1,31,,K4B 1S2,PO12789157205,,00:00.,Primary Bank & Reserve,88,B,,AW00000677,22,00:00.
Stephen Y Jiang,Stephen,,4,55.2109,100,10,FR-M94B-42,2008,Milford,2,October,1999,3,Mountain Frames,M,12,2007,1,2208.4365,16:17:22.000Z,653.6971,Value Added Reseller,12,,Cycle Classic Negozio,1,41.21953 -73.0554,297,,12,736.1455,274,2006,North American Sales Manager,CM ,252,,Connecticut,630 Oldgate Lane,United States,M,,Current,00:00.,1,Riserva di Sicurezza [it],CT,HL Monta?a Marco - Negro [es],Classic Cycle Store,00:00.,1,238-555-0197,US,New Haven County,,,US,272,Jiang,Components,Q2,502097814,6466,800000,,2208.4365,2,176.6749,4,,,4839373,1961.0913,396,,stephen0@advent,1,11,0,Mountain,United States,,40,612-555-0149,10:00.,SO47730-12,272,Milford,dimreseller_businesstype_ja,,,,SO47730,productname_zh_tw,,Northeast,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,4D13-42BB-90,,Sunday,2,2,2,80000,1,17:22.,,,2,North America,252,07:10:00.000Z,48.101,0,00:00.,658358000,,S,2005,00:00.,1,Connecticut,4831725,HL Montagna Telaio - Nero [it],2,Sales,HL Mountain Frame - Black,1,15,LB ,6460,PO10092115748,,00:00.,Reserve Security,396,Y,,AW00000252,12,00:00.
Jillian  Carson,Jillian,,6,9.1969,100,12,FR-R38R-48,2008,Branch,3,December,1999,2,Road Frames,F,14,2006,1,367.8764,05:46:05.000Z,181.4857,Value Added Reseller,11,,Riders Societ??,5,45.509818 -92.97816,264,,14,183.9382,335,2005,Sales Representative,CM ,579,,Minnesota,Tanger Factory,United States,S,,Current,00:00.,1,Primaria Banca e Riserva [it],MN,LL Carretera Marco - Rojo [es],Riders Company,00:00.,1,517-555-0117,US,Chisago County,,,US,283,Carson,Components,Q2,615389812,55056,800000,,367.8764,3,29.4301,4,,,5021070,362.9714,475,,jillian0@advent,1,3,0,Road,United States,,48,334-555-0137,21:06.,SO44772-11,283,North Branch,dimreseller_businesstype_ja,,,,SO44772,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,F5E6-4B81-A3,,Thursday,2,2,2,80000,1,46:05.,,,3,North America,579,05:21:06.000Z,23.0769,0,00:00.,603301000,,S,2005,00:00.,1,Minnesota,5037779,ML Strada Telaio - Rosso [it],2,Sales,LL Road Frame - Red,1,15,LB ,55056,PO1624122637,,00:00.,Primary Bank & Reserve,475,,,AW00000579,14,00:00.
Ranjit R Varkey Chudukatil,Ranjit,,5,30.1173,36,11,FR-T98Y-60,2008,Paris,7,November,1975,2,Touring Frames,M,16,2008,1,1204.692,11:36:21.000Z,601.7437,Warehouse,28,,Toy Distributore Favorite,5,32.767268 -96.777626,492,,16,602.346,305,2007,Sales Representative,CM ,614,,Seine (Paris),"1, place de la Reublique",France,S,,Current,00:00.,1,Primaria Banca e Riserva [it],75,,Favorite Toy Distributor,00:00.,1,1 (11) 500 555-,FR,Dallas County,,,US,292,Varkey Chudukatil,Components,Q2,134219713,75270,3000000,1000,1204.692,7,96.3754,4,,,4684904,1203.4874,203,,ranjit0@adventu,1,7,0,Touring,France,,44,1 (11) 500 555-0136,02:49.,SO57054-28,292,Dallas,dimreseller_businesstype_ja,,,,SO57054,productname_zh_tw,,France,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,8D1A-4AF0-91,,Thursday,3,2,2,300000,1,36:21.,,,7,Europe,614,05:02:49.000Z,23.0769,0,00:00.,671188000,,Q,2007,00:00.,1,Texas,4736286,,2,Sales,HL Touring Frame - Yellow,1,88,LB ,75017,PO13456189029,,00:00.,Primary Bank & Reserve,203,R,,AW00000614,16,00:00.
Jillian  Carson,Jillian,,6,5.4693,100,6,HL-U509,2008,Chantilly,5,June,1980,11,Helmets,F,31,2008,1,223.2362,23:36:09.000Z,13.0863,Warehouse,24,,Vendite e Supply Company,1,38.889111 -77.4363,217,,31,20.2942,153,2008,Sales Representative,,90,,Virginia,Corporate Ofc A/p,United States,S,,Current,00:00.,2,Custode Della Banca [it],VA,AWC Logo Tapa [es],Sales and Supply Company,00:00.,1,517-555-0117,US,Fairfax County,,,US,283,Carson,Accessories,Q4,615389812,22022,3000000,,218.7715,5,17.5017,2,,,4758041,143.9493,602,,jillian0@advent,1,3,4.4647,Road,United States,123 Fourth Ave,23,572-555-0156,41:43.,SO71844-24,283,Chantilly,dimreseller_businesstype_ja,,,,SO71844,productname_zh_tw,,Southeast,Vormund Bank [de],dimreseller_bankname_zh_cn,410D-4079-9E,,Sunday,1,4,4,300000,1,36:09.,,,5,North America,90,06:41:43.000Z,23.0769,0.02,00:00.,630334000,,Q,2006,00:00.,1,Virginia,6254928,AWC Logo Berretto [it],1,Sales,Sport-100 Helmet,2,95,,20151,PO2813198985,,00:00.,Guardian Bank,602,,,AW00000090,31,00:00.
Michael G Blythe,Michael,TRUE,8,0.389,100,11,CA-1098,2007,Southfield,3,November,1978,3,Caps,M,19,2007,1,15.5595,05:12:37.000Z,5.2297,Specialty Bike Shop,2,,Field Trip Inc,4,42.474234 -83.29078,224,,19,5.1865,305,2006,Sales Representative,,198,,Michigan,997000 Telegraph Rd.,United States,S,S ,Current,00:00.,1,Sicurezza Internazionale [it],MI,,Field Trip Inc,00:00.,1,257-555-0154,US,Oakland County,8.6442,3,US,281,Blythe,Clothing,Q2,841560125,48075,1500000,,15.5595,3,1.2448,4,4,0,5004223,15.6891,471,Traditional style with a flip-up brim; one-size fits all.,michael9@advent,1,2,0,Road,United States,,44,528-555-0183,44:53.,SO47987-2,281,Southfield,dimreseller_businesstype_ja,,,5.1865,SO47987,productname_zh_tw,,Central,International Sicherheit [de],dimreseller_bankname_zh_cn,712C-46BA-8E,5.2297,Wednesday,1,3,3,150000,1,12:37.,Cycling Cap,,3,North America,198,20:44:53.000Z,23.0769,0,00:00.,574336000,U ,A,2005,00:00.,1,Michigan,5001836,,2,Sales,AWC Logo Cap,1,33,,48034,PO16849126895,NA,00:00.,International Security,471,G,Multi,AW00000198,19,00:00.
Michael G Blythe,Michael,,5,163.6172,100,2,BK-R89R-58,2008,San Antonio,4,February,1970,5,Road Bikes,M,2,2007,1,6544.6875,00:07:55.000Z,1320.6838,Value Added Reseller,3,,Totes & Company Cesti,5,29.403583 -98.5063,371,,2,1308.9375,32,2007,Sales Representative,CM ,328,"I had mixed feelings about my experience with Garrett, or ""Varg"" as he preferred to be called.  I mean, he didn't even know the correct bike frame size to give me; he said I was a 60 when I'm clearly a 62.  Thank God for Lance Armstrong and his Livestrong site (http://www.livestrong.com/article/185328-how-to-determine-road-bike-frame-size/).Despite his obvious need for additional training, Varg was friendly with my wife and kids and did a nice job helping them pick out helmets.     ",Texas,72540 Blanco Rd.,United States,S,,Current,00:00.,2,Custode Della Banca [it],TX,Carretera-250 Negro [es],Totes & Baskets Company,00:00.,1,257-555-0154,US,Bexar County,,,US,281,Blythe,Bikes,Q3,841560125,78205,300000,200,6544.6875,4,523.575,1,,,4674023,6603.419,591,,michael9@advent,1,2,0,Road,United States,,5,560-555-0171,55:19.,SO49099-3,281,San Antonio,dimreseller_businesstype_ja,,,,SO49099,productname_zh_tw,,Southwest,Vormund Bank [de],dimreseller_bankname_zh_cn,D567-4CCE-A4,,Thursday,3,1,1,30000,1,07:55.,,,4,North America,328,22:55:19.000Z,23.0769,0,00:00.,600444000,,S,2005,00:00.,1,Texas,4736286,Strada-250 Nero [it],1,Sales,Road-250 Red,1,2,LB ,78204,PO15689170019,,00:00.,Guardian Bank,591,G,,AW00000328,2,00:00.
Linda C Mitchell,Linda,TRUE,6,5.4894,100,9,FD-2342,2008,Van Nuys,4,September,1991,4,Derailleurs,F,9,2008,1,219.576,20:46:25.000Z,40.6216,Value Added Reseller,18,7/1/2007 0:00,Vendite professionali e di servizio,7,34.178305 -118.45858,552,,9,54.894,244,2007,Sales Representative,,582,,California,57251 Serene Blvd,United States,M,,Current,00:00.,1,Bancario Internazionale [it],CA,,Professional Sales and Service,00:00.,1,883-555-0116,US,Los Angeles County,91.49,375,US,282,Mitchell,Components,Q1,191644724,91411,800000,,219.576,4,17.5661,3,500,1,5368381,162.4864,379,Wide-link design.,linda3@adventur,1,4,0,Touring,United States,,36,747-555-0171,24:24.,SO53459-18,282,Van Nuys,dimreseller_businesstype_ja,Current,,54.894,SO53459,productname_zh_tw,,Southwest,International Bank [de],dimreseller_bankname_zh_cn,9828-4F27-B0,40.6216,Saturday,2,2,2,80000,1,46:25.,Front Derailleur,88,4,North America,582,08:24:24.000Z,23.0769,0,00:00.,560279000,,S,2007,00:00.,1,California,5332921,,2,Sales,Front Derailleur,1,14,G  ,91411,PO19372154638,NA,00:00.,International Bank,379,C,Silver,AW00000582,9,00:00.
David R Campbell,David,,4,248.5704,100,10,BK-M68S-42,2008,Seattle,1,October,1991,8,Mountain Bikes,M,1,2007,1,9942.8144,08:48:16.000Z,1117.8559,Value Added Reseller,25,,Ultimi Articoli Sportivi,1,47.60252 -122.32855,354,,1,1242.8518,274,2006,Sales Representative,CM ,146,,Washington,4251 First Avenue,United States,S,,Current,00:00.,1,Custode Della Banca [it],WA,,Latest Sports Equipment,00:00.,1,740-555-0182,US,King County,,,US,289,Campbell,Bikes,Q2,987554265,98164,800000,,9942.8144,1,795.4252,4,,,5799783,8942.8472,637,,david8@adventur,1,1,0,Mountain,United States,,40,340-555-0131,00:41.,SO47666-25,289,Seattle,dimreseller_businesstype_ja,,,,SO47666,productname_zh_tw,,Northwest,Vormund Bank [de],dimreseller_bankname_zh_cn,6551-4B29-BF,,Sunday,2,1,1,80000,1,48:16.,,,1,North America,146,16:00:41.000Z,23.0769,0,00:00.,630745000,,S,2005,00:00.,1,Washington,5815135,,2,Sales,Mountain-200 Silver,1,14,LB ,98104,PO16588184420,,00:00.,Guardian Bank,637,R,,AW00000146,1,00:00.
Ranjit R Varkey Chudukatil,Ranjit,,5,4.4994,100,2,TG-W091-L,2008,Paris,7,February,1986,4,Tights,M,24,2007,1,179.976,01:25:05.000Z,30.9334,Warehouse,17,,Metropolitan Attrezzature,5,,458,,24,44.994,32,2007,Sales Representative,,638,,Seine (Paris),"88, avenue de l' Union Centrale",France,S,,Current,00:00.,2,Bancario Internazionale [it],75,,Metropolitan Equipment,00:00.,1,1 (11) 500 555-,FR,,,,,292,Varkey Chudukatil,Clothing,Q3,134219713,,3000000,,179.976,7,14.3981,1,,,,123.7336,200,,ranjit0@adventu,1,7,0,Road,France,,5,1 (11) 500 555-0175,47:59.,SO49118-17,292,,dimreseller_businesstype_ja,,,,SO49118,productname_zh_tw,,France,International Bank [de],dimreseller_bankname_zh_cn,532A-4BAE-8C,,Thursday,1,3,3,300000,1,25:05.,,,7,Europe,638,23:47:59.000Z,23.0769,0,00:00.,598974000,,Q,2006,00:00.,1,,,,1,Sales,Women's Tights,1,96,,75012,PO13427116278,,00:00.,International Bank,200,R,,AW00000638,24,00:00.
Tsvi Michael Reiter,Tsvi,,5,16.8074,100,11,BK-R64Y-40,2008,La Vergne,5,November,1987,1,Road Bikes,M,2,2008,1,672.294,07:47:09.000Z,713.0798,Warehouse,14,,Ogni Bike Shop,5,36.01333 -86.56268,384,,2,672.294,305,2007,Sales Representative,CM ,45,,Tennessee,2550 High Street,United States,M,,Current,00:00.,1,Primaria Internazionale [it],TN,Carretera-550-W Amarillo [es],Every Bike Shop,00:00.,1,664-555-0112,US,Rutherford County,,,US,285,Reiter,Bikes,Q2,716374314,37086,3000000,,672.294,5,53.7835,4,,,4654962,713.0798,565,,tsvi0@adventure,1,5,0,Road,United States,,44,333-555-0113,43:58.,SO57126-14,285,La Vergne,dimreseller_businesstype_ja,,,,SO57126,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,6350-4E4D-85,,Thursday,,1,1,300000,1,47:09.,,,5,North America,45,00:43:58.000Z,23.0769,0,00:00.,583009000,,Q,2005,00:00.,1,Tennessee,4662168,Strada-550-W Giallo [it],2,Sales,Road-550-W Yellow,1,80,LB ,37086,PO7598164370,,00:00.,Primary International,565,Michael,,AW00000045,2,00:00.
Garrett R Vargas,Garrett,,5,1.1249,19,5,TG-W091-L,2008,Calgary,6,May,1984,1,Tights,M,24,2007,1,44.994,01:44:37.000Z,30.9334,Specialty Bike Shop,3,,Finer Ciclo Negozio,3,,458,,24,44.994,121,2007,Sales Representative,,444,,Alberta,2500-622 5th Ave Sw,Canada,M,,Current,00:00.,2,Primaria Internazionale [it],AB,,Finer Cycle Shop,00:00.,1,922-555-0165,CA,,,,,284,Vargas,Clothing,Q4,234474252,,800000,600,44.994,6,3.5995,2,,,,30.9334,41,,garrett1@advent,1,6,0,Mountain,Canada,,18,396-555-0187,03:56.,SO50250-3,284,,dimreseller_businesstype_ja,,,,SO50250,productname_zh_tw,,Canada,Prim?r International [de],dimreseller_bankname_zh_cn,D67C-4BB1-92,,Tuesday,3,3,3,80000,1,44:37.,,,6,North America,444,22:03:56.000Z,23.0769,0,00:00.,591559000,,A,2006,00:00.,1,,,,1,Sales,Women's Tights,1,16,,T2P 2G8,PO2117115526,,00:00.,Primary International,41,R,,AW00000444,24,00:00.
Rachel B Valdez,Rachel,TRUE,5,0.1718,36,11,PK-7098,2008,Grevenbroich,8,November,1992,5,Tires and Tubes,F,37,2008,1,6.87,09:10:39.000Z,0.8565,Warehouse,11,,Biciclette eccellenti,5,,480,,37,1.374,305,2007,Sales Representative,,266,,Bayern,Hans-Rosenthal-Platz 4223,Germany,S,S ,Current,00:00.,1,Riserva di Sicurezza [it],BY,,Excellent Bikes,00:00.,1,1 (11) 500 555-,DE,,2.29,3,,295,Valdez,Accessories,Q2,954276278,,3000000,,6.87,8,0.5496,4,4,0,,4.2825,119,Includes 8 different size patches,rachel0@adventu,1,8,0,Touring,Germany,,44,1 (11) 500 555-0129,48:21.,SO57132-11,295,,dimreseller_businesstype_ja,,,1.374,SO57132,productname_zh_tw,,Germany,Reserve Sicherheit [de],dimreseller_bankname_zh_cn,C079-4BDD-A1,0.8565,Thursday,1,4,4,300000,1,10:39.,Patch kit,,8,Europe,266,16:48:21.000Z,23.0769,0,00:00.,635862000,,Q,2007,00:00.,1,,,,2,Sales,Patch Kit/8 Patches,1,81,,41485,PO5829189627,NA,00:00.,Reserve Security,119,B,NA,AW00000266,37,00:00.
Michael G Blythe,Michael,TRUE,5,3.7254,100,8,PD-R563,2008,College Station,4,August,1997,4,Pedals,M,13,2008,1,149.016,07:15:24.000Z,27.568,Value Added Reseller,41,7/1/2007 0:00,Sheet Metal Manufacturing,4,30.614647 -96.32641,546,,13,37.254,213,2007,Sales Representative,,436,,Texas,25306 Harvey Rd.,United States,S,R ,Current,00:00.,1,Sicurezza Internazionale [it],TX,,Sheet Metal Manufacturing,00:00.,1,257-555-0154,US,Brazos County,62.09,375,US,281,Blythe,Components,Q1,841560125,77869,800000,,149.016,4,11.9213,3,500,1,4676153,110.272,576,Lightweight aluminum alloy construction.,michael9@advent,1,2,0,Road,United States,,31,145-555-0152,32:38.,SO51855-41,281,College Station,dimreseller_businesstype_ja,Current,M ,37.254,SO51855,productname_zh_tw,,Southwest,International Sicherheit [de],dimreseller_bankname_zh_cn,8551-4CDF-A1,27.568,Wednesday,2,2,2,80000,1,15:24.,ML Road Pedal,168,4,North America,436,14:32:38.000Z,23.0769,0,00:00.,544634000,,S,2006,00:00.,1,Texas,4736286,,2,Sales,ML Road Pedal,1,17,G  ,77840,PO3480115731,NA,00:00.,International Security,576,G,Silver/Black,AW00000436,13,00:00.
Jillian  Carson,Jillian,,6,97.1991,100,9,BK-M47B-48,2008,Saint Louis,3,September,1997,6,Mountain Bikes,F,1,2007,1,3887.964,03:15:39.000Z,598.4354,Value Added Reseller,34,,World of Bikes,6,38.631451 -90.21415,367,,1,647.994,244,2006,Sales Representative,CM ,327,,Missouri,660 Lindbergh,United States,S,,Current,00:00.,1,Primaria Banca e Riserva [it],MO,,World of Bikes,00:00.,1,517-555-0117,US,Saint Louis,,,US,283,Carson,Bikes,Q1,615389812,63101,800000,600,3887.964,3,311.0371,3,,,4407084,3590.6124,487,,jillian0@advent,1,3,0,Mountain,United States,,36,695-555-0158,11:04.,SO47378-34,283,St. Louis,dimreseller_businesstype_ja,,,,SO47378,productname_zh_tw,,Central,Hausbank und Zur??ckhaltung [de],dimreseller_bankname_zh_cn,E766-4274-A7,,Friday,3,1,1,80000,1,15:39.,,,3,North America,327,10:11:04.000Z,23.0769,0,00:00.,543325000,,S,2006,00:00.,1,Missouri,4398678,,2,Sales,Mountain-300 Black,1,17,LB ,63103,PO15341116216,,00:00.,Primary Bank & Reserve,487,,,AW00000327,1,00:00.
Michael G Blythe,Michael,,4,30.7365,100,7,BK-M68B-42,2008,Newport News,5,July,2001,1,Mountain Bikes,M,1,2007,1,1229.4589,00:01:58.000Z,1105.81,Specialty Bike Shop,9,,Catalogo negozio di fiducia,7,36.987151 -76.4195,360,,1,1229.4589,182,2006,Sales Representative,CM ,17,,Virginia,9920 Picketts Line Road,United States,S,,Current,00:00.,1,Primaria Internazionale [it],VA,Monta?a-200 Negro [es],Trusted Catalog Store,00:00.,1,257-555-0154,US,Newport News,,,US,281,Blythe,Bikes,Q1,841560125,23600,1000000,,1229.4589,5,98.3567,3,,,4776037,1105.81,605,,michael9@advent,1,2,0,Mountain,United States,,27,497-555-0147,13:19.,SO46631-9,281,Newport News,dimreseller_businesstype_ja,,,,SO46631,productname_zh_tw,,Southeast,Prim?r International [de],dimreseller_bankname_zh_cn,D8CB-44CB-87,,Saturday,1,1,1,100000,1,01:58.,,,5,North America,17,01:13:19.000Z,23.0769,0,00:00.,609081000,,A,2005,00:00.,1,Virginia,6254928,Montagna-300 Nero [it],2,Sales,Mountain-200 Black,1,25,LB ,23607,PO11861116846,,00:00.,Primary International,605,G,,AW00000017,1,00:00.
Shu K Ito,Shu,,5,1.442,100,8,LJ-0192-L,2008,Parker,3,August,1982,2,Jerseys,M,21,2006,1,57.6808,15:05:58.000Z,31.7244,Value Added Reseller,8,,Fun Times Club,2,39.523171 -104.70607,232,,21,28.8404,213,2005,Sales Representative,,527,,Colorado,8525 South Parker Road,United States,M,,Current,00:00.,1,Sicurezza Internazionale [it],CO,Largo-Manga Logo Jersey [es],Fun Times Club,00:00.,1,330-555-0120,US,Douglas County,,,US,287,Ito,Clothing,Q1,139397894,80138,800000,,57.6808,3,4.6145,3,,,5419891,63.4488,391,,shu0@adventure-,1,4,0,Road,United States,,31,847-555-0184,25:33.,SO43871-8,287,Parker,dimreseller_businesstype_ja,,,,SO43871,productname_zh_tw,,Central,International Sicherheit [de],dimreseller_bankname_zh_cn,01F1-4AD5-A5,,Monday,2,3,3,80000,1,05:58.,,,3,North America,527,20:25:33.000Z,23.0769,0,00:00.,623975000,,S,2005,00:00.,1,Colorado,5417618,Manica Lunga Logo Maglietta [it],2,Sales,Long-Sleeve Logo Jersey,1,14,,80138,PO13572145817,,00:00.,International Security,391,K,,AW00000527,21,00:00.
